	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000240731.1	59.6260448930951	37.8275033254498	57.390808461838	73.2655253068987	29.2824128485833	36.2860635812077	55.4877770108796	46.1857624652161
ENSG00000224051.7	552.397611308445	809.896545557707	922.937899345476	578.203605124714	388.201130335504	599.185255033275	1913.57847205088	809.940566158302
ENSG00000169962.5	29.4703440276217	11.6392317924461	55.0483264838038	19.8014933261888	26.7724917472762	110.719014517018	526.384046778885	54.0711365446433
ENSG00000107404.21	1533.14324627418	1511.16026105258	1847.04703967997	1295.01766353275	1236.55446257732	1232.79574987436	2078.54213343457	1355.15785965012
ENSG00000284372.1	0	0	0	0	0	0	0	0
ENSG00000162576.17	5817.30883968496	3503.40876952627	4070.06243683443	3872.18201993623	1213.12853229845	2852.64284461494	2357.48068813791	2878.16153899091
ENSG00000175756.14	1209.65481880819	1810.87047970807	2178.50823957181	941.56100766028	1389.65964975705	2021.78502979395	2717.40140388416	1911.63997325541
ENSG00000223663.2	0.685356837851668	0	0	0	0	0.930411886697632	0	0
ENSG00000221978.13	4781.73465769109	3689.63647820541	4118.08331738413	4331.57666510381	1230.6979800076	2530.72033181756	2189.51768745633	3429.01124253946
ENSG00000224870.9	387.911970224044	399.613624873982	490.749974398165	367.317701200803	338.002708309361	424.26782033412	451.40056433175	511.422833151417
ENSG00000242485.6	912.895308018422	1077.59887678397	1204.03573670958	892.057274344807	1055.0035029161	1230.00451421427	1439.68286298498	1382.19342792244
ENSG00000264293.2	0	0	0	0	0	0	0	0
ENSG00000272455.1	44.5481944603584	49.4667351178959	83.1581102202142	111.878437292967	91.1938000141594	105.136543196832	85.4811699897335	69.8418847034975
ENSG00000235098.9	893.019959720724	400.583560856686	694.545906487141	664.340101093636	139.718941306097	254.002445068454	196.456724011493	336.818121392674
ENSG00000225905.1	7.53892521636835	6.78955187892688	11.712409890171	6.9305226641661	5.01984220261428	1.86082377339526	0	4.50592804538694
ENSG00000205116.4	50.7164060010234	15.5189757232614	52.7058445057696	34.6526133208305	11.7129651394333	8.37370698027869	1.49966964894269	41.6798344198292
ENSG00000225285.1	72.6478248122768	63.0458388757496	94.8705201103852	48.5136586491627	17.56944770915	16.7474139605574	13.4970268404842	426.936682300412
ENSG00000179403.12	2417.93892394069	2712.91094362264	3111.98730781844	2803.89145498834	2320.0037379749	2468.38273540882	1997.55997239167	7179.06985831274
ENSG00000215915.10	178.192777841434	446.170552043767	269.385427473933	209.895829257602	65.2579486339856	50.2422418816721	59.9867859577077	61.9565106240704
ENSG00000160072.20	797.07000242149	579.051781674193	803.471318465731	485.136586491627	476.048368881254	782.476396712709	689.848038513638	514.802279185458
ENSG00000290916.1	0	0	1.1712409890171	0.990074666309442	1.67328073420476	0	0	0
ENSG00000284740.3	0	0	0	0	0	0	0	0
ENSG00000197785.14	387.226613386193	486.907863317328	501.291143299319	316.823893219021	726.203838644866	935.994358017818	1040.77073636623	499.031531026603
ENSG00000205090.10	115.825305596932	43.6471192216728	52.7058445057696	77.2258239721365	15.0595266078428	26.0515328275337	37.4917412235673	38.300388385789
ENSG00000160075.12	2128.71833836728	2227.94295227072	3014.77430573002	1902.92350864675	1915.90644066445	2972.66597799893	3084.82046787512	2560.49361179113
ENSG00000215014.5	17.1339209462917	25.2183355502999	17.5686148352565	28.7121653229738	18.4060880762524	33.4948279211148	29.9933929788538	33.794460340402
ENSG00000274481.1	0	0	0	0	0	0	0	0
ENSG00000228594.4	83.6135342179035	191.077388592657	100.726725055471	118.808959957133	107.926607356207	353.5565169451	365.919394342017	314.288481165739
ENSG00000286989.1	6.85356837851668	25.2183355502999	9.36992791213681	10.8908213294039	7.52976330392142	18.6082377339526	14.9966964894269	18.0237121815478
ENSG00000272106.1	176.82206416573	256.063099433814	206.13841406701	174.253141270462	217.526495446619	120.953545270692	136.469938053785	189.248977906251
